IPAPI.com,IPStack,IP_Address,Y/N
Rajkot,Sultanpur,117.198.160.15,0
Jogipet,Badvel,117.211.125.200,0
Ahmedabad,Soj?tra,157.32.241.142,0
Ahmedabad,Golana,157.32.73.201,0
Ahmedabad,Soj?tra,157.32.20.243,0
Ahmedabad,Soj?tra,49.34.114.219,0
Ahmedabad,Kheda,49.34.107.64,0
Ahmedabad,Soj?tra,49.34.93.239,0
Ahmedabad,Soj?tra,49.34.90.216,0
Ahmedabad,Pipali,49.34.82.110,0
Ahmedabad,Soj?tra,49.34.29.63,0
Rajkot,J?n?gadh,117.223.66.104,0
Rajkot,Sultanpur,117.198.171.246,0
Rajkot,Sultanpur,117.198.163.1,0
Rajkot,Kunkavav,61.0.179.144,0
Morvi,Morbi,202.91.72.37,0
Ahmedabad,Ahmedabad,117.200.207.201,1
Sarla,Ahmedabad,117.196.30.202,0
Kanpur,Kalana,182.72.53.187,0
Rajkot,R?jkot,59.90.161.32,0
Jasdan,Jasdan,103.83.107.104,1
Bhavnagar,Bengaluru,117.211.167.144,0
Ahmedabad,Soj?tra,106.222.35.137,0
Jamnagar,Jamnagar,150.129.166.116,1
Jamnagar,Jamnagar,150.129.166.53,1
Jamnagar,Jamnagar,150.129.166.44,1
Jamnagar,Jamnagar,150.129.166.3,1
Jamnagar,Jamnagar,43.249.228.105,1
Jamnagar,Jamnagar,43.249.228.88,1
Jamnagar,Jamnagar,43.249.228.53,1
Jamnagar,Jamnagar,43.249.228.44,1
Rajkot,J?n?gadh,117.223.148.254,0
Ahmedabad,Soj?tra,106.77.158.165,0
Jeypore,R?jkot,117.207.0.185,0
Rajkot,R?jkot,117.203.87.42,0
Rajkot,R?jkot,117.203.80.116,0
Rajkot,Sultanpur,117.198.165.162,0
Rajkot,Bagasra,59.95.149.237,0
Bhavnagar,Gondal,117.212.133.230,0
Bhavnagar,R?jkot,117.212.128.175,0
Rajkot,Bagasra,117.198.170.181,0
Ahmedabad,New Delhi,106.77.130.200,0
Rajkot,Sultanpur,59.88.128.196,0
Surendranagar,Jamnagar,59.90.89.126,0
Jamnagar,Jamnagar,43.249.228.119,1
Jamnagar,Jamnagar,43.249.228.19,1
Rajkot,R?jkot,219.91.186.109,0
Rajkot,J?n?gadh,117.223.148.146,0
Veraval,Ahmedabad,103.132.25.13,0
Surendranagar,Surendranagar,103.21.162.190,1
Savarkundla,Bagasra,103.135.70.6,0
Rajkot,R?jkot,103.81.117.214,0
Khambhaliya,Bhimkatta,103.250.162.99,0
Khambhaliya,Dhrol,103.250.162.64,0
Ahmedabad,Soj?tra,157.32.30.105,0
Rajkot,R?jkot,59.90.161.249,0
Gandhidham,Ahmedabad,150.129.106.222,0
Jamnagar,Ahmedabad,150.129.106.25,0
Rajkot,Bhimkatta,150.129.104.44,0
Rajkot,Sultanpur,117.198.168.195,0
Diu,Pati?la,61.0.160.104,0
Rajkot,Bagasra,59.95.148.28,0
Surendranagar,Ahmedabad,117.218.185.171,0
Rajkot,Surendranagar,43.252.117.171,0
Rajkot,Surendranagar,43.252.117.170,0
Rajkot,Surendranagar,43.252.117.169,0
Surendranagar,Surendranagar,27.54.169.88,1
Ahmedabad,Petl?d,157.32.97.255,0
Ahmedabad,Soj?tra,157.32.39.101,0
Ahmedabad,Morbi,1.38.78.87,0
