Village_Name,State_Name,District_Name,Block_Name,Pincode
GIRLIGUDA,odisha,KORAPUT,KUNDRA,764002
GOBARI,odisha,NABARANGPUR,JHARIGAM,764073
GOBRAHIA,bihar,PASHCHIM CHAMPARAN,RAMNAGAR,845106
GOBRAURA,bihar,PASHCHIM CHAMPARAN,LAURIYA,845453
GOIBHANGA,odisha,SUNDERGARH,LATHIKATA,770031
GONTHA,jharkhand,PALAMU,CHHATARPUR,822116
GOPALGANJ,jharkhand,PALAMU,LESLIGANJ,822118
GOPINATH PUR,jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102
GORWA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861
GOUGUTTU,jharkhand,PASHCHIMI SINGHBHUM,MANJHARI,833201
GUDRA,bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845456
GULIKERA,jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833105
GUNDIJORA,jharkhand,PASHCHIMI SINGHBHUM,NOAMUNDI,833218
GUNJIBADI,odisha,KANDHAMAL,K.NUAGAM,762102
GURCHIHWA,uttar pradesh,BALRAMPUR,PACHPERWA,271206
GURDI,jharkhand,PALAMU,CHHATARPUR,822113
HALDIA,jharkhand,PASHCHIMI SINGHBHUM,MAJHGAON,833214
HAPUGUTU,jharkhand,PASHCHIMI SINGHBHUM,HATGAMAHARIA,833214
HARAIYA,jharkhand,PALAMU,PANKI,822113
HARIDAPUT,odisha,KORAPUT,JEYPORE,764055
HARIPUR,bihar,PASHCHIM CHAMPARAN,THAKARAHAN,845307
